tmdb_id,title,release_date,release_year,genres,overview,director,top_cast,keywords,vote_average,vote_count,popularity,quality_score,decade_group,title_zh
1226863,The Super Mario Galaxy Movie,2026-04-01,2026,Family|Comedy|Adventure|Fantasy|Animation,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",Michael Jelenic,Chris Pratt|Charlie Day|Anya Taylor-Joy|Jack Black|Keegan-Michael Key,galaxy|friendship|sibling relationship|space travel|turtle|sequel|slapstick comedy|magic mushroom|robot|based on video game,6.743,594,589.0971,72.53292455759419,2020s,超級瑪利歐銀河電影版
1198994,Send Help,2026-01-22,2026,Horror|Thriller|Comedy,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",Sam Raimi,Rachel McAdams|Dylan O'Brien|Edyll Ismail|Dennis Haysbert|Xavier Samuel,bullying|role reversal|survival|struggle for survival|survival horror|deserted island|power struggle|colleagues|bullying in the workplace|plane crash,7.047,1066,321.0363,65.18777125292345,2020s,荒島囚救
83533,Avatar: Fire and Ash,2025-12-17,2025,Science Fiction|Adventure|Fantasy,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",James Cameron,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Oona Chaplin,witch|clone|space war|tribe|sequel|alien|transhumanism|family|space adventure|family dynamics,7.374,2705,241.6669,70.36173948758042,2020s,阿凡達：火與燼
687163,Project Hail Mary,2026-03-15,2026,Science Fiction|Adventure,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",Phil Lord,Ryan Gosling|Sandra Hüller|James Ortiz|Lionel Boyce|Milana Vayntrub,based on novel or book|space travel|space mission|alien|space|science teacher|save the planet,8.217,1695,195.9863,70.90115556696314,2020s,極限返航
936075,Michael,2026-04-22,2026,Music|Drama,"Discover the story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music, tracing his journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",Antoine Fuqua,Jaafar Jackson|Colman Domingo|Nia Long|Juliano Krue Valdi|KeiLyn Durrel Jones,sibling relationship|1970s|abusive father|ambition|biography|singer|period drama|music history|price of fame|singer-songwriter,7.3,131,187.1165,45.000279034880506,2020s,麥可傑克森
1290821,Shelter,2026-01-28,2026,Action|Crime|Thriller,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",Ric Roman Waugh,Jason Statham|Bodhi Rae Breathnach|Naomi Ackie|Daniel Mays|Harriet Walter,home invasion|mysterious girl|ghosts of the past|isolated island|child protection|solitary life|storm rescue|unexpected threat|violent assault|protective instinct,6.8,593,174.2039,52.14097437166598,2020s,天眼浩劫
1327819,Hoppers,2026-03-04,2026,Animation|Family|Science Fiction|Comedy|Adventure,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",Daniel Chong,Piper Curda|Bobby Moynihan|Jon Hamm|Kathy Najimy|Dave Franco,"human vs nature|spy|beaver|oregon, usa|transhumanism|consciousness|aftercreditsstinger|duringcreditsstinger|human becoming an animal|robotic animal",7.578,511,166.7708,55.61256400854939,2020s,狸想世界
1297842,GOAT,2026-02-11,2026,Animation|Comedy|Family,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",Tyree Dillihay,Caleb McLaughlin|Gabrielle Union|Stephen Curry|Aaron Pierre|Nicola Coughlan,underdog|friendship|sports|allies|ambition|bullying|challenge|basketball|rivalry|coming of age,7.896,436,140.9838,55.05634250847478,2020s,山羊巔峰
1171145,Crime 101,2026-02-11,2026,Crime|Thriller,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",Bart Layton,Chris Hemsworth|Mark Ruffalo|Halle Berry|Barry Keoghan|Monica Barbaro,"robbery|based on novel or book|jewelry|heist|police chase|los angeles, california|police detective|diamond heist|insurance|lapd",6.956,766,136.9843,53.05435319031064,2020s,犯罪101
1304313,Lee Cronin's The Mummy,2026-04-15,2026,Horror|Mystery,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",Lee Cronin,Jack Reynor|Laia Costa|May Calamawy|Natalie Grace|Shylo Molina,journalist|egypt|monster|ritual|kidnapping|new mexico|pyramid|investigation|supernatural|mummy,6.9,132,135.6857,40.52769398473011,2020s,李克寧 墓乃伊
